what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1318683449422
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1318683449423
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1318683449425
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1318683449433
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1318683449438
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1318683449440
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1318683449443
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1318683449446
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1318683449478
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1318683449480
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1318683449482
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1318683449483
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1318683449487
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1318683449489
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1318683449570
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1318683449579
started,bundle,com.android.ide.eclipse.ddms,12.0.0.v201106281929-138431,"com.android.ide.eclipse.ddms",1318683449658
os,sysinfo,,,"win32",1318683449664
arch,sysinfo,,,"x86",1318683449665
ws,sysinfo,,,"win32",1318683449665
locale,sysinfo,,,"en_US",1318683449665
processors,sysinfo,,,"2",1318683449665
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1318683449665
java.runtime.version,sysinfo,,,"1.6.0_16-b01",1318683449665
java.specification.name,sysinfo,,,"Java Platform API Specification",1318683449665
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1318683449665
java.specification.version,sysinfo,,,"1.6",1318683449665
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1318683449665
java.version,sysinfo,,,"1.6.0_16",1318683449665
java.vm.info,sysinfo,,,"mixed mode",1318683449665
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1318683449665
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1318683449665
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1318683449665
java.vm.specification.version,sysinfo,,,"1.0",1318683449665
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1318683449665
java.vm.version,sysinfo,,,"14.2-b01",1318683449665
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1318683450632
started,bundle,org.eclipse.epp.usagedata.ui,1.3.0.R201005261100,"org.eclipse.epp.usagedata.ui",1318683450835
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1318683455996
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1318683465631
error,log,,,"loadAndParseRClass: failed to find manifest package for project ApiDemos",1318683466150
started,bundle,com.android.ide.eclipse.traceview,12.0.0.v201106281929-138431,"com.android.ide.eclipse.traceview",1318683471060
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1318683471285
started,bundle,org.eclipse.wst.sse.core,1.1.502.v201008311901,"org.eclipse.wst.sse.core",1318683475581
started,bundle,com.android.ide.eclipse.adt,12.0.0.v201106281929-138431,"com.android.ide.eclipse.adt",1318683475589
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1318683475951
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1318683475957
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1318683477040
started,bundle,org.eclipse.jdt.launching,3.5.100.v20100526,"org.eclipse.jdt.launching",1318683477220
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1318683480519
error,log,,,"Failed to load properties file for project 'ApiDemos'",1318683482291
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1318683529682
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1318683735217
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1318683806689
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1318683854905
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1318683875280
error,log,,,"Failed to load properties file for project 'eNAI'",1318683919301
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1318683923474
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1318683929354
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1318683933814
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1318683936958
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1318683944655
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1318683974589
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318683977194
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318683981810
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1318683982622
started,bundle,org.eclipse.jdt.apt.core,3.3.401.R36_v20100727-0110,"org.eclipse.jdt.apt.core",1318683984063
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1318683984202
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1318683985808
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1318683988441
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1318684036422
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1318684039031
started,bundle,org.eclipse.wst.sse.ui,1.2.2.v201008232126,"org.eclipse.wst.sse.ui",1318684049668
started,bundle,org.eclipse.wst.xml.core,1.1.502.v201009010342,"org.eclipse.wst.xml.core",1318684050045
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1318684052395
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1318684052973
started,bundle,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui",1318684053733
started,bundle,org.eclipse.wst.validation,1.2.200.v201005271900,"org.eclipse.wst.validation",1318684057742
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1318684058279
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1318684061520
started,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1318684061759
started,bundle,org.eclipse.emf.common,2.6.0.v20100914-1218,"org.eclipse.emf.common",1318684062502
opened,editor,com.android.ide.eclipse.adt,12.0.0.v201106281929-138431,"com.android.ide.eclipse.editors.layout.LayoutEditor",1318684067373
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1318684071343
activated,editor,com.android.ide.eclipse.adt,12.0.0.v201106281929-138431,"com.android.ide.eclipse.editors.layout.LayoutEditor",1318684075384
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1318684076168
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1318684080985
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1318684081055
activated,editor,com.android.ide.eclipse.adt,12.0.0.v201106281929-138431,"com.android.ide.eclipse.editors.layout.LayoutEditor",1318684081119
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1318684082728
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1318684098707
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1318684148784
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318684173570
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1318684178804
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1318684183040
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318684183647
started,bundle,org.eclipse.draw2d,3.6.1.v20100913-2020,"org.eclipse.draw2d",1318684214731
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1318684232251
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1318684258929
activated,editor,com.android.ide.eclipse.adt,12.0.0.v201106281929-138431,"com.android.ide.eclipse.editors.layout.LayoutEditor",1318684268661
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318684276940
activated,editor,com.android.ide.eclipse.adt,12.0.0.v201106281929-138431,"com.android.ide.eclipse.editors.layout.LayoutEditor",1318684279834
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1318684293964
