what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1321819253490
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1321819268555
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1321819299403
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321819331660
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321819332847
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321819333107
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321819334088
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1321819335040
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1321819335793
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321819336134
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321819342618
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321819345230
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321819345807
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1321819346119
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321819348096
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321819348540
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1321819350385
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321819359779
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321819360537
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1321819362262
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1321819364474
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321819368511
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321819369816
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321819380214
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321819381439
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1321819382739
