what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1325824134478
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1325824135427
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1325824140026
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1325824140446
error,log,,,"Failed to load properties file for project 'ApiDemos'",1325824141037
started,bundle,org.eclipse.jdt.apt.core,3.3.401.R36_v20100727-0110,"org.eclipse.jdt.apt.core",1325824154927
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1325824155207
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1325824157361
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1325824158756
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1325824160473
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1325824163639
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1325824164939
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1325824168869
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1325824187632
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1325824189013
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1325824189939
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1325824190703
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1325824196604
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1325824197670
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1325824201241
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1325824204864
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1325824206288
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1325824210405
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1325824211341
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1325824216572
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1325824217756
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1325824223088
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1325824224259
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1325824228295
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1325824229393
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1325824235993
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1325824236977
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1325824237162
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1325824241380
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1325824242843
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1325824243674
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1325824244716
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1325824244954
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1325824247166
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1325824248846
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1325824255587
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1325824257116
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1325824257288
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1325824259055
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1325824259336
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1325824261805
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1325824263310
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1325824275024
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1325824276024
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1325824280872
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1325824282307
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1325824283178
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1325824287501
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1325824288305
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1325824289747
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1325824289887
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1325824293250
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1325824294544
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1325824298288
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1325824302331
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1325824304467
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineEnd",1325824305560
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1325824305999
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1325824306159
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1325824308465
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineEnd",1325824310153
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1325824312609
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1325824313625
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1325824314602
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1325824314891
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1325824315721
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1325824315870
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1325824316033
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1325824316505
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1325824316612
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1325824316778
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1325824317175
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1325824318545
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1325824329737
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1325824330159
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1325824331446
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1325824331721
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1325824352311
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1325824352626
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1325824354670
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1325824366730
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1325824367777
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1325824412450
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1325824414544
started,bundle,org.eclipse.jdt.junit.core,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit.core",1325824415179
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1325824417156
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1325824417854
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1325824418199
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineEnd",1325824485485
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1325824486651
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1325824500771
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1325824501709
