what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1315292113509
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1315292113512
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1315292113523
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1315292113524
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1315292113526
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1315292113528
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1315292113575
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1315292113577
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1315292113578
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1315292113579
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1315292113581
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1315292113582
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1315292113640
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1315292113641
started,bundle,com.android.ide.eclipse.ddms,12.0.0.v201106281929-138431,"com.android.ide.eclipse.ddms",1315292113690
os,sysinfo,,,"win32",1315292113696
arch,sysinfo,,,"x86",1315292113696
ws,sysinfo,,,"win32",1315292113696
locale,sysinfo,,,"en_US",1315292113696
processors,sysinfo,,,"2",1315292113696
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1315292113696
java.runtime.version,sysinfo,,,"1.6.0_16-b01",1315292113696
java.specification.name,sysinfo,,,"Java Platform API Specification",1315292113696
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1315292113696
java.specification.version,sysinfo,,,"1.6",1315292113696
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1315292113696
java.version,sysinfo,,,"1.6.0_16",1315292113697
java.vm.info,sysinfo,,,"mixed mode",1315292113697
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1315292113697
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1315292113697
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1315292113697
java.vm.specification.version,sysinfo,,,"1.0",1315292113697
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1315292113697
java.vm.version,sysinfo,,,"14.2-b01",1315292113697
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1315292114493
error,log,,,"loadAndParseRClass: failed to find manifest package for project ApiDemos",1315292118013
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1315292120171
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1315292121818
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1315292124377
started,bundle,com.android.ide.eclipse.traceview,12.0.0.v201106281929-138431,"com.android.ide.eclipse.traceview",1315292151518
started,bundle,org.eclipse.wst.sse.core,1.1.502.v201008311901,"org.eclipse.wst.sse.core",1315292157738
started,bundle,com.android.ide.eclipse.adt,12.0.0.v201106281929-138431,"com.android.ide.eclipse.adt",1315292163004
started,bundle,org.eclipse.wst.xml.core,1.1.502.v201009010342,"org.eclipse.wst.xml.core",1315292163612
error,log,,,"Failed to load properties file for project 'ApiDemos'",1315292175783
started,bundle,org.eclipse.jdt.launching,3.5.100.v20100526,"org.eclipse.jdt.launching",1315292183151
started,bundle,org.eclipse.jdt.apt.core,3.3.401.R36_v20100727-0110,"org.eclipse.jdt.apt.core",1315292208061
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1315292208744
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315292225554
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315292225589
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315292225797
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1315292228285
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1315292228467
error,log,,,"Failed to finish PrecompilerBuilder#startupOnInitialize()",1315292229790
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315292236687
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1315292239652
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315292248803
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315292275144
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1315292292991
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1315292293544
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315292295096
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315292306781
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315292307187
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315292312267
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1315292313209
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315292316311
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315292318266
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.javaAppletShortcut.run",1315292318281
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1315292329338
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1315292329650
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1315292330602
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1315292330695
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1315292331574
activated,view,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1315292331824
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1315292334070
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.DebugLast",1315292336851
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315292343475
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315292346193
error,log,,,"Referenced part does not exist yet: org.eclipse.ui.views.ProblemView.",1315292346287
opened,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugView",1315292347722
opened,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.VariableView",1315292347940
opened,view,com.android.ide.eclipse.ddms,12.0.0.v201106281929-138431,"com.android.ide.eclipse.ddms.views.LogCatView",1315292348237
activated,perspective,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugPerspective",1315292348299
opened,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.BreakpointView",1315292349555
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.ClassFileEditor",1315292350784
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.ClassFileEditor",1315292350925
activated,perspective,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.JavaPerspective",1315292351861
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1315292353347
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.ClassFileEditor",1315292355004
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1315292355142
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.ClassFileEditor",1315292355150
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1315292356555
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1315292357512
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315292542003
started,bundle,org.eclipse.jdt.junit.core,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit.core",1315292547836
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,2.0.0.v20100503,"org.eclipse.equinox.simpleconfigurator.manipulator",1315292547988
started,bundle,org.eclipse.equinox.frameworkadmin,2.0.0.v20100503,"org.eclipse.equinox.frameworkadmin",1315292548331
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315292590047
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315292591389
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315292842318
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1315292856036
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1315292856041
